num_segnale,altezza1,d_tipo_segnale,d_composito,d_forma,d_dimensione,d_illuminato,data_fabbricazione,data_scadenza,d_codice_segnale,toponimo,d_tipo_elemento,d_tipo_classe,d_stato1,d_amm_rilasciante,data_installazione,data_sostituzione,data_eliminazione,ente_proprietario,ordinanza,data_ordinanza,d_ditta_installante,ditta_fornitrice,foto,note,d_login,data_ins2,PARENT_KEY,KEY,SET-OF-r_segnalefisico
1,200,A,"",1,1,0,"","","","",N,1,0,1,"","","",1,"","",102,5,media\1682067609323.jpg,"",6,"",uuid:f572f493-4af8-4e89-844c-49db59c801ad/t_grupposegnale[1],uuid:f572f493-4af8-4e89-844c-49db59c801ad/t_grupposegnale[1]/r_segnalefisico[1],uuid:f572f493-4af8-4e89-844c-49db59c801ad/t_grupposegnale[1]/r_segnalefisico
1,200,A,0,1,1,0,"","","","",N,2,0,1,"","","",1,"","",102,5,media\1682062568860.jpg,"",6,"",uuid:31d80d51-bf09-4f22-9649-96f389609bae/t_grupposegnale[1],uuid:31d80d51-bf09-4f22-9649-96f389609bae/t_grupposegnale[1]/r_segnalefisico[1],uuid:31d80d51-bf09-4f22-9649-96f389609bae/t_grupposegnale[1]/r_segnalefisico
1,"",C,0,7,1,0,"","","","",N,2,0,1,"","","",1,"","",102,5,media\1682065324172.jpg,"",6,"",uuid:fec06236-f7a8-4bb9-99ce-1504d22e02b5/t_grupposegnale[1],uuid:fec06236-f7a8-4bb9-99ce-1504d22e02b5/t_grupposegnale[1]/r_segnalefisico[1],uuid:fec06236-f7a8-4bb9-99ce-1504d22e02b5/t_grupposegnale[1]/r_segnalefisico
1,180,A,0,1,1,0,"","",fig_36_art_106,"",N,2,0,1,"","","",1,"","",102,5,media\1682061062643.jpg,"",6,"",uuid:9df6be5f-a248-45e0-a937-da08e9054152/t_grupposegnale[1],uuid:9df6be5f-a248-45e0-a937-da08e9054152/t_grupposegnale[1]/r_segnalefisico[1],uuid:9df6be5f-a248-45e0-a937-da08e9054152/t_grupposegnale[1]/r_segnalefisico
1,180,C,0,6,1,0,"","",fig_234_art_127,"",N,2,1,1,"","","",1,"","",102,5,media\1682060155376.jpg,"",6,"",uuid:7a454ff3-b452-4eb4-ab34-f8a68f0ce6a8/t_grupposegnale[1],uuid:7a454ff3-b452-4eb4-ab34-f8a68f0ce6a8/t_grupposegnale[1]/r_segnalefisico[1],uuid:7a454ff3-b452-4eb4-ab34-f8a68f0ce6a8/t_grupposegnale[1]/r_segnalefisico
1,200,C,1,5,2,0,"","",fig_234_art_127,Incrociata,N,2,0,1,"","","",1,"","",102,5,media\1682062368615.jpg,"",6,"",uuid:0aae8bc2-9d03-4d38-9838-701e51d0412a/t_grupposegnale[1],uuid:0aae8bc2-9d03-4d38-9838-701e51d0412a/t_grupposegnale[1]/r_segnalefisico[1],uuid:0aae8bc2-9d03-4d38-9838-701e51d0412a/t_grupposegnale[1]/r_segnalefisico
1,"",C,0,6,1,0,"","","","",N,2,0,1,"","","",1,"","",102,5,media\1682068681784.jpg,"",6,"",uuid:8c5f3394-fccd-4cff-81f4-c1a00c820834/t_grupposegnale[1],uuid:8c5f3394-fccd-4cff-81f4-c1a00c820834/t_grupposegnale[1]/r_segnalefisico[1],uuid:8c5f3394-fccd-4cff-81f4-c1a00c820834/t_grupposegnale[1]/r_segnalefisico
1,140,A,0,1,1,0,"","",fig_234_art_127,"",N,2,0,1,"","","",1,"","",102,5,media\1682060424308.jpg,"",6,"",uuid:d99fcf10-58c3-43fb-86cb-3d970c6cc2a0/t_grupposegnale[1],uuid:d99fcf10-58c3-43fb-86cb-3d970c6cc2a0/t_grupposegnale[1]/r_segnalefisico[1],uuid:d99fcf10-58c3-43fb-86cb-3d970c6cc2a0/t_grupposegnale[1]/r_segnalefisico
2,200,A,0,1,1,0,"","",fig_234_art_127,"",N,1,0,1,"","","",1,"","",102,5,media\1682060520119.jpg,"",6,"",uuid:d99fcf10-58c3-43fb-86cb-3d970c6cc2a0/t_grupposegnale[1],uuid:d99fcf10-58c3-43fb-86cb-3d970c6cc2a0/t_grupposegnale[1]/r_segnalefisico[2],uuid:d99fcf10-58c3-43fb-86cb-3d970c6cc2a0/t_grupposegnale[1]/r_segnalefisico
1,200,"","","",1,0,"","","","",N,2,0,1,"","","",1,"","",102,5,media\1682067800595.jpg,"",6,"",uuid:43a4b047-03dd-495f-9052-8432b89ba546/t_grupposegnale[1],uuid:43a4b047-03dd-495f-9052-8432b89ba546/t_grupposegnale[1]/r_segnalefisico[1],uuid:43a4b047-03dd-495f-9052-8432b89ba546/t_grupposegnale[1]/r_segnalefisico
1,200,"",0,1,1,0,"","",fig_234_art_127,"",N,2,0,1,"","","",1,"","",102,5,media\1682063280973.jpg,"",6,"",uuid:b9fc15fa-0307-44cf-b489-096758316aff/t_grupposegnale[1],uuid:b9fc15fa-0307-44cf-b489-096758316aff/t_grupposegnale[1]/r_segnalefisico[1],uuid:b9fc15fa-0307-44cf-b489-096758316aff/t_grupposegnale[1]/r_segnalefisico
1,"",A,0,1,1,0,"","",fig_234_art_127,"",N,1,3,1,"","","",1,"","",102,5,media\1682060806629.jpg,"",6,"",uuid:04a2cc76-9ba1-4c15-9913-da3254c826f5/t_grupposegnale[1],uuid:04a2cc76-9ba1-4c15-9913-da3254c826f5/t_grupposegnale[1]/r_segnalefisico[1],uuid:04a2cc76-9ba1-4c15-9913-da3254c826f5/t_grupposegnale[1]/r_segnalefisico
1,180,A,0,1,1,0,"","",fig_38_art_108,"",N,2,0,1,"","","",1,"","",102,5,media\1682061672158.jpg,"",6,"",uuid:dc3875f5-94a5-4865-9f48-0d5506352666/t_grupposegnale[1],uuid:dc3875f5-94a5-4865-9f48-0d5506352666/t_grupposegnale[1]/r_segnalefisico[1],uuid:dc3875f5-94a5-4865-9f48-0d5506352666/t_grupposegnale[1]/r_segnalefisico
1,150,A,0,1,1,0,"","",fig_43b_art_112,"",N,1,3,1,"","","",1,"","",102,5,media\1682059779212.jpg,"",6,"",uuid:908300cd-8683-4f42-a3c0-a218591ccae0/t_grupposegnale[1],uuid:908300cd-8683-4f42-a3c0-a218591ccae0/t_grupposegnale[1]/r_segnalefisico[1],uuid:908300cd-8683-4f42-a3c0-a218591ccae0/t_grupposegnale[1]/r_segnalefisico
