cod_strada,prog_ini,d_lato,dist_cigli,d_pos_conf,comune,location-Latitude,location-Longitude,location-Altitude,location-Accuracy,d_tipo_impianto,d_tp_supporto,codice_supporto,nm_sostegn,d_materiale,dimensione_palo,d_sez_supporto,altezza,d_tipo_elemento1,d_stato,d_conforme,nm_segnali,data_installazione1,d_ditta_installante1,d_ditta_fornitrice,foto1,note1,d_origine1,d_login1,d_precisione,data_ins1,data_agg1,data_sostit,SET-OF-r_segnalefisico,PARENT_KEY,KEY,SET-OF-t_grupposegnale
56,"",D,100,0,12,45.07723216716666,9.615110113666667,95.63109999880791,0.0,S,A,"",1,4,60,1,250,N,0,1,2,"",73,6,media\1682060341955.jpg,"",1,6,1,"","","",uuid:d99fcf10-58c3-43fb-86cb-3d970c6cc2a0/generic[1]/t_grupposegnale[1]/r_segnalefisico,uuid:d99fcf10-58c3-43fb-86cb-3d970c6cc2a0,uuid:d99fcf10-58c3-43fb-86cb-3d970c6cc2a0/t_grupposegnale[1],uuid:d99fcf10-58c3-43fb-86cb-3d970c6cc2a0/t_grupposegnale
78,"",S,20,0,12,45.04127714933333,9.551968730333334,110.6596999988079,0.0,S,A,"",1,4,60,1,300,N,0,1,1,"",73,6,media\1682065248010.jpg,"",1,6,1,"","","",uuid:fec06236-f7a8-4bb9-99ce-1504d22e02b5/generic[1]/t_grupposegnale[1]/r_segnalefisico,uuid:fec06236-f7a8-4bb9-99ce-1504d22e02b5,uuid:fec06236-f7a8-4bb9-99ce-1504d22e02b5/t_grupposegnale[1],uuid:fec06236-f7a8-4bb9-99ce-1504d22e02b5/t_grupposegnale
56,"",S,70,0,11,45.079788129166666,9.613622649,93.6492999988079,0.0,S,A,"",1,4,60,1,250,N,0,1,1,"",73,6,media\1682062511500.jpg,"",1,6,1,"","","",uuid:31d80d51-bf09-4f22-9649-96f389609bae/generic[1]/t_grupposegnale[1]/r_segnalefisico,uuid:31d80d51-bf09-4f22-9649-96f389609bae,uuid:31d80d51-bf09-4f22-9649-96f389609bae/t_grupposegnale[1],uuid:31d80d51-bf09-4f22-9649-96f389609bae/t_grupposegnale
56,"",D,120,0,12,45.0749428455,9.6140729995,94.8718999988079,0.0,S,A,"",1,4,60,1,250,N,3,1,2,"",73,6,media\1682059676839.jpg,"",1,6,1,"","","",uuid:908300cd-8683-4f42-a3c0-a218591ccae0/generic[1]/t_grupposegnale[1]/r_segnalefisico,uuid:908300cd-8683-4f42-a3c0-a218591ccae0,uuid:908300cd-8683-4f42-a3c0-a218591ccae0/t_grupposegnale[1],uuid:908300cd-8683-4f42-a3c0-a218591ccae0/t_grupposegnale
56,"",D,50,0,12,45.07608586116667,9.6144567975,93.47709999880792,0.0,S,A,"",2,4,60,1,300,N,1,1,1,"",73,6,media\1682060062016.jpg,"",1,6,1,"","","",uuid:7a454ff3-b452-4eb4-ab34-f8a68f0ce6a8/generic[1]/t_grupposegnale[1]/r_segnalefisico,uuid:7a454ff3-b452-4eb4-ab34-f8a68f0ce6a8,uuid:7a454ff3-b452-4eb4-ab34-f8a68f0ce6a8/t_grupposegnale[1],uuid:7a454ff3-b452-4eb4-ab34-f8a68f0ce6a8/t_grupposegnale
56,"",S,100,0,12,45.0780498945,9.61555365,94.5655999988079,0.0,S,A,"",1,4,60,1,250,N,0,1,1,"",73,6,media\1682060947410.jpg,"",1,6,1,"","","",uuid:9df6be5f-a248-45e0-a937-da08e9054152/generic[1]/t_grupposegnale[1]/r_segnalefisico,uuid:9df6be5f-a248-45e0-a937-da08e9054152,uuid:9df6be5f-a248-45e0-a937-da08e9054152/t_grupposegnale[1],uuid:9df6be5f-a248-45e0-a937-da08e9054152/t_grupposegnale
56,"",S,30,0,11,45.07948167483333,9.614417642666666,94.28279999880792,0.0,S,A,"",2,4,60,1,250,N,0,1,1,"",73,6,media\1682062275760.jpg,"",1,6,1,"","","",uuid:0aae8bc2-9d03-4d38-9838-701e51d0412a/generic[1]/t_grupposegnale[1]/r_segnalefisico,uuid:0aae8bc2-9d03-4d38-9838-701e51d0412a,uuid:0aae8bc2-9d03-4d38-9838-701e51d0412a/t_grupposegnale[1],uuid:0aae8bc2-9d03-4d38-9838-701e51d0412a/t_grupposegnale
88,"","",100,0,14,45.021630392,9.568211834833333,115.69639999880789,0.0,S,A,"",1,4,60,1,250,N,3,1,1,"",73,6,media\1682067527241.jpg,"",1,6,1,"","","",uuid:f572f493-4af8-4e89-844c-49db59c801ad/generic[1]/t_grupposegnale[1]/r_segnalefisico,uuid:f572f493-4af8-4e89-844c-49db59c801ad,uuid:f572f493-4af8-4e89-844c-49db59c801ad/t_grupposegnale[1],uuid:f572f493-4af8-4e89-844c-49db59c801ad/t_grupposegnale
78,"",D,60,0,12,45.04189949733333,9.551801565666667,109.8833999988079,0.0,S,A,"",1,4,60,1,300,N,0,1,2,"",73,6,media\1682064281006.jpg,"",1,6,1,"","","",uuid:76902e27-d86b-410a-8673-391551ab3217/generic[1]/t_grupposegnale[1]/r_segnalefisico,uuid:76902e27-d86b-410a-8673-391551ab3217,uuid:76902e27-d86b-410a-8673-391551ab3217/t_grupposegnale[1],uuid:76902e27-d86b-410a-8673-391551ab3217/t_grupposegnale
22,"",S,150,0,40,44.982908509333335,9.5745969385,136.4889999988079,0.0,S,A,"",1,4,60,1,"",N,0,1,1,"",73,6,media\1682068628613.jpg,"",1,6,1,"","","",uuid:8c5f3394-fccd-4cff-81f4-c1a00c820834/generic[1]/t_grupposegnale[1]/r_segnalefisico,uuid:8c5f3394-fccd-4cff-81f4-c1a00c820834,uuid:8c5f3394-fccd-4cff-81f4-c1a00c820834/t_grupposegnale[1],uuid:8c5f3394-fccd-4cff-81f4-c1a00c820834/t_grupposegnale
